_id,author_name,cover_type,name,num_page,price,provider,publisher,release_year,size,url,weight
629cf7ac56a95be487d01779,Đỗ Tiến Đạt,Bìa mềm,Bài tập phát triển năng lực môn toán lớp 3 tập 2,70,23.000,Nhà xuất bản Đại học Sư phạm,Đại Học Sư Phạm,2020, (cm),https://book365.vn/sach/1077989_bai-tap-phat-trien-nang.html,200 (g)
629cf7ac56a95be487d0178c,NGUYỄN QUANG HỌC,Bìa mềm,Giáo trình Vật liệu bán dẫn thấp chiều,296,85.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2017, (cm),https://book365.vn/sach/1128032_giao-trinh-vat-lieu-ban.html,400 (g)
629cf7ac56a95be487d01797,ĐẶNG THỊ OANH,Bìa mềm,Phương pháp dạy học môn Hóa học ở trường phổ thông,256,69.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2014, (cm),https://book365.vn/sach/1128112_phuong-phap-day-hoc-mon.html,400 (g)
629cf7ac56a95be487d01798,"ThS. Lê Anh Tuấn (Chủ biên),
ThS. Đỗ Thanh Hiên, ThS. Hồ Ngọc Khải",Bìa mềm,Hướng dẫn dạy học môn Nghệ thuật cấp THCS theo chương trình giáo dục phổ thông mới phần Âm nhạc (2018),165,65.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2018, (cm),https://book365.vn/sach/1130967_huong-dan-day-hoc-mon.html,350 (g)
629cf7ac56a95be487d0179f,Ngô Vũ Thu Hằng,Bìa mềm,Bé vui học toán (dành cho trẻ 3 - 6 tuổi) - quyển 3,,25.000,Nhà xuất bản Đại học Sư phạm,Đại Học Sư Phạm,2020, (cm),https://book365.vn/sach/1077537_be-vui-hoc-toan-(danh-cho.html,300 (g)
629cf7ac56a95be487d017b6,A. Pazzi Vũ Hạnh,Bìa mềm,Người việt cao quý,120,65.000,Wiselands,Khoa học xã hội,2019, (cm),https://book365.vn/sach/1158688_nguoi-viet-cao-quy.html,300 (g)
629cf7ac56a95be487d017c0,Tác giả: Honoré de Balzac -Dịch giả: Nhiều dịch giả,Bìa mềm,Tấn Trò Đời Tập 2,446,112.000,Wiselands,Văn học,2018, (cm),https://book365.vn/sach/1158705_tan-tro-doi-tap-2.html,400 (g)
629cf7ac56a95be487d017da,"Mai Lan Hương, Nguyễn Thị Thanh Tâm",Bìa mềm,Bài Tập Trắc Nghiệm Tiếng Anh - Lớp 12 (Có Đáp Án) - Tái Bản 2018,264,60.000,CTCP Phát Hành Sách FAHASA,Đà Nẵng,2018, (cm),https://book365.vn/sach/1039838_bai-tap-trac-nghiem-tieng.html,280 (g)
629cf7ac56a95be487d017e7,Kim Young Jin,Bìa mềm,Sách - Để luôn đạt điểm 10-Trái đất và vũ trụ (tái bản 2018),,85.000,Nhà sách Alpha Books,Dân trí,2019,24x18x2 (cm),https://book365.vn/sach/1098423_sach-de-luon-dat-diem.html,450 (g)
629cf7ac56a95be487d01803,Juliana Jiyoon Lee,Bìa mềm,Sách - Sống Sót Nơi Công Sở - English Business Conversation - Nói Sao Cho Ngầu 169K,,169.000,Nhà sách Alpha Books,Dân Trí,2021,26x18x2 (cm),https://book365.vn/sach/1098524_sach-song-sot-noi-cong.html,300 (g)
